feature,importance
ASTV,0.12872111991128007
ALTV,0.12249724041084598
Mean,0.0993670344843716
AC,0.083052507726314
Median,0.07848744623171128
MSTV,0.06485716977244813
Mode,0.05673932914136657
MLTV,0.05654310896325407
DP,0.0548744522935923
LB,0.04454269310807459
Variance,0.034619221075335556
Width,0.03202946170788774
UC,0.028633235425390733
Min,0.02768120914602139
Max,0.026906358568440574
FM,0.019728917660711894
Nmax,0.015702062140016747
DL,0.014732698497935782
Tendency,0.006917459033491681
Nzeros,0.003025247501725067
DS,0.00034202719978436663
