feature,importance
ASTV,0.13223515848347014
ALTV,0.12460459389546238
Mean,0.09905165842983951
Median,0.08204592373269964
AC,0.0815642328864634
MSTV,0.06401912548251397
MLTV,0.05736336333380445
Mode,0.05578011791740321
DP,0.054374577390415124
LB,0.045178460341810535
Variance,0.03457503950163253
UC,0.02917404990247239
Width,0.028842267637937236
Max,0.0273983640767648
Min,0.02574757570865268
FM,0.019354968804011132
Nmax,0.015115858197711558
DL,0.013633240886465474
Tendency,0.006359451591576293
Nzeros,0.0031311522189070096
DS,0.00045081957998644817
